Schlange Anfangs Länge,Schlange Entscheidungs Länge,Reisezeit
1,0,694.7629115889329
1,0,713.3244316807051
0,0,551.041370823187
5,0,714.1207676329942
5,0,593.6648324965421
1,0,560.8558839699201
0,0,594.1972541397205
0,0,676.8761475878694
0,0,548.3615565207125
0,0,550.8551720554648
2,0,544.8737105925354
0,0,579.8478064239804
1,0,486.72207796176343
1,0,620.1419413898498
0,0,457.0671639392176
0,0,395.4940542675454
0,0,398.79924034376984
1,0,422.47582622151157
2,0,497.82206970563516
0,0,512.3094851333051
2,0,659.5880635390549
0,0,660.441826748257
1,0,459.8685162025602
0,0,544.7128942596263
0,0,619.1617178483503
1,0,611.7982256489963
1,0,565.9534679310623
1,0,660.3132775888162
0,0,470.31300196088733
0,0,661.524485280511
0,0,482.85866028639794
1,0,588.2002131417782
1,0,543.0968474183791
0,0,528.5232872866637
1,0,689.4116958910063
0,0,726.2447885130332
3,0,574.4233811536542
0,0,738.666851547296
5,0,805.1130876756986
2,0,597.8567021951222
0,0,489.57733877728407
1,0,541.2579296064971
4,0,701.3695707987458
0,0,480.5142318046166
1,0,523.6333237316067
0,0,455.12144717940015
1,0,549.7129798451349
0,0,445.44436300687477
0,0,472.2162228713507
1,0,497.69523532573197
0,0,415.73218664208673
0,0,739.2865894292215
2,0,721.4599072924594
2,0,528.6706542173981
0,0,649.9500610945555
1,0,616.1219358894739
2,0,624.0529781098123
1,0,477.9133161195926
1,0,548.0084632641832
0,0,520.2758602121392
2,0,584.8329096802333
0,0,559.7163981416957
4,0,683.8113440513132
0,0,715.3056569410239
3,0,556.8344394594556
4,0,695.3869169918959
0,0,529.4839544931671
3,0,687.1108465439854
1,0,671.3544921284454
0,0,530.8490268282426
1,0,600.0873433502438
0,0,523.322519152116
1,0,572.432580445582
1,0,562.1988499740366
1,0,508.9348026440498
4,0,522.847291910034
0,0,420.6745123067268
1,0,711.3558500028241
3,0,719.1418338040038
0,0,549.0319803571326
0,0,525.4962012435046
0,0,622.2039229103996
1,0,489.61809445155984
0,0,536.4715301028181
1,0,581.2579348694035
1,0,751.0010649650411
1,0,569.6403286324987
1,0,684.0379203348978
2,0,470.37668437661216
0,0,487.32470796866676
0,0,524.8090731772454
1,0,582.7099244603437
3,0,614.1827506689682
0,0,570.2017977395635
0,0,406.6692044073395
0,0,563.1679983875739
1,0,607.0834538692948
1,0,685.0210395537011
3,0,616.2466965168578
0,0,708.0246697499277
3,0,616.3853077757333
3,0,622.976502010898
0,0,471.9016668941319
0,0,454.67487255922356
1,0,689.8593814934162
1,0,479.6821024473409
2,0,573.1035513435963
0,0,523.2441176884538
0,0,610.4210444004129
6,0,681.7080596150163
1,0,686.3357641288981
1,0,631.3842485219604
0,0,549.0563156714554
1,0,653.5776225236393
1,0,539.102085546654
1,0,612.4160511333007
0,0,576.6730722419552
1,0,442.0894085996709
1,0,661.3103562522559
0,0,527.1310914558298
1,0,579.0307751981073
0,0,672.280511677664
1,0,724.5817784683557
1,0,628.0487692828416
0,0,579.4930193648293
2,0,552.3571559905064
1,0,548.2994444516789
0,0,507.83985254930394
0,0,475.89174755997396
2,0,668.9042132116128
0,0,579.5284089641684
2,0,729.6388733132571
2,0,610.9432956188849
0,0,543.7600129306297
0,0,633.540431757496
0,0,611.2845187345711
2,0,593.7445869800537
3,0,702.6152953134418
0,0,543.1526693766589
1,0,521.8126077533345
1,0,601.3639736873686
1,0,602.6234166195322
0,0,576.3145619833284
0,0,574.4344291566172
0,0,444.5392690735866
3,0,819.4240956050415
0,0,534.1077394151908
2,0,568.1190223176109
0,0,610.1657143330458
1,0,579.6459226924951
0,0,522.4455553960588
0,0,508.624506189503
1,0,531.6600991701293
1,0,450.405921410889
1,0,620.8146136967349
1,0,544.9177783595317
2,0,574.550236416602
0,0,659.1575773719463
1,0,588.8920408476553
1,0,666.4978652975019
0,0,557.3340105568836
1,0,556.9518054918524
1,0,562.2161145173475
1,0,489.71758842274807
0,0,485.9663691977128
3,0,737.6355114330636
0,0,525.148530107868
0,0,495.2189187831258
0,0,663.016784338997
3,0,705.7336905666741
1,0,570.3471209522432
0,0,507.43232940933325
1,0,498.2819119534339
0,0,551.2924716626309
1,0,711.6643712134978
0,0,481.40851548983466
3,0,645.2551222958601
2,0,601.0652089812045
0,0,514.9907458445193
2,0,669.4646048689679
3,0,565.4485336539891
0,0,486.7681434446396
0,0,568.6689418447158
2,0,536.4266630168321
1,0,661.0436812800616
1,0,878.0802606158061
0,0,690.4687141731044
6,0,735.4962000076068
1,0,503.2274453424671
2,0,718.2436414927039
1,0,586.5919980222104
3,0,557.7646551390237
0,0,519.7823151631083
1,0,590.7052255635597
0,0,596.8882967949553
0,0,559.5440977160581
0,0,496.3778222367684
2,0,600.0364804517881
1,0,543.1741809185453
1,0,522.4313041557407
3,0,608.0901707518996
0,0,580.3652101139718
0,0,577.9520823041139
0,0,756.5751956356693
1,0,702.8003991987819
3,0,580.1555383391292
1,0,607.7182360936212
0,0,487.77372845354404
0,0,548.9410346934483
0,0,745.6342427857977
2,0,697.6142440909766
1,0,604.5268005077709
4,0,802.9548726130064
2,0,585.2551646159588
0,0,580.0725393026078
2,0,693.019522249499
0,0,457.40863960546875
1,0,660.406239405329
0,0,599.7189548990581
2,0,467.7181562294932
1,0,568.346822029556
0,0,567.8281543661399
5,0,681.8648020501286
0,0,649.6844043404894
0,0,601.5533163966113
0,0,491.2626576704609
0,0,737.6157884745506
0,0,505.9242345137617
0,0,628.6378611521044
0,0,537.3328759418432
4,0,767.0443515480399
0,0,502.80112713441645
0,0,652.5503325565742
1,0,536.0223676657454
0,0,663.9328371671586
4,0,722.7584733552482
0,0,492.5426162111394
0,0,595.8234000693
1,0,639.2569147732979
0,0,424.5438318261772
2,0,647.593957882552
1,0,629.3534044496132
2,0,678.3456916434646
4,0,765.4956796021074
1,0,574.6272246655217
2,0,583.8127161973187
4,0,618.0570777956812
1,0,465.96042896603996
0,0,708.4105438547158
3,0,717.0376129034312
2,0,472.8234473928584
1,0,824.1466142718099
1,0,585.0295469525727
0,0,588.2173232923546
4,0,588.4490690653961
1,0,604.1341669063971
2,0,687.4897869151423
0,0,661.2991151706038
0,0,436.94299822521504
2,0,687.7461736172708
1,0,548.6290706578498
0,0,628.9068996520648
1,0,578.1182573129449
0,0,489.4589256483505
2,0,739.2727390017317
2,0,656.7751205659395
1,0,592.8396339890121
1,0,453.60893105131345
0,0,526.9046759570033
0,0,652.1639137462361
0,0,550.4953220178562
0,0,565.9469878081758
1,0,562.1021114004374
0,0,567.882240861117
0,0,447.97015417895926
0,0,607.3616965162927
2,0,604.2340699925109
0,0,481.42638658035196
2,0,606.1597457510943
0,0,494.90996408752994
0,0,520.8821505980884
1,0,616.6495309953827
3,0,637.403445497208
2,0,724.8813448758781
2,0,529.4207015063159
1,0,650.8686009817354
0,0,601.3472976169543
0,0,517.5222202128666
2,0,575.1123139689332
0,0,425.39230694181674
0,0,521.3781795512925
3,0,695.1941811903482
0,0,474.90988731975506
0,0,551.6446951623088
1,0,624.1110005543137
1,0,642.742485584839
0,0,649.3130113584494
0,0,493.6027412036422
1,0,588.644994015157
2,0,643.8792895709089
1,0,731.1433079497799
3,0,703.9439587451647
0,0,575.2277584934807
0,0,452.01779503325537
0,0,595.1017411767208
0,0,690.6004260409152
2,0,585.9011675173564
0,0,601.4580574596183
0,0,579.5077385253609
1,0,694.4656940945308
2,0,771.3372191789573
0,0,604.3953955937537
0,0,469.62217646680847
0,0,511.7713948865325
0,0,690.2454570840147
2,0,752.7250211690376
1,0,690.2346011467943
0,0,470.0153694511059
2,0,479.32902465233155
2,0,597.369208927685
1,0,753.9540393289819
0,0,769.4646447316678
3,0,607.7954295488402
0,0,497.06849347423145
0,0,651.3140012887675
1,0,613.893804761086
6,0,752.9197729865156
4,0,729.2697910178583
3,0,637.2802917755614
3,0,658.788694627747
4,0,604.2774563190524
3,0,675.0564556009696
2,0,845.1584441758902
1,0,524.2433361062331
1,0,629.4814388931414
1,0,644.4414654843539
0,0,626.8490931229013
5,0,653.6879615038812
0,0,534.0878545942162
0,0,513.1847945267979
1,0,680.8185087152139
3,0,595.97834803804
0,0,612.5668168789174
1,0,507.8628002346928
0,0,526.4341501534739
2,0,651.8689544873077
0,0,500.6449960452724
2,0,590.3770007480291
0,0,567.408721220188
1,0,460.0454885585553
0,0,680.2840088678296
0,0,686.6032542567865
0,0,446.4707551306064
0,0,530.445776801854
0,0,506.3916061031903
0,0,607.3034001485953
1,0,555.6485236529248
1,0,599.9756949283178
0,0,589.1893136389455
1,0,668.1238072648574
0,0,535.1743612923724
6,0,800.14015199004
0,0,520.7722022987302
1,0,591.4627752249291
1,0,721.7652388460186
1,0,547.1044174220891
3,0,705.8000320488787
3,0,711.9802007443874
1,0,589.0983767586572
0,0,605.9667492178788
0,0,404.6755728025163
3,0,647.9414628221734
0,0,429.33032374350773
2,0,591.4485702115602
2,0,699.5421731923689
2,0,739.2631131381943
0,0,566.0113469343253
1,0,548.7963063881889
0,0,542.0541569540068
1,0,554.9613386108344
0,0,642.6966478879834
5,0,636.7556191621934
0,0,532.2360426352272
0,0,513.9477366697422
1,0,466.50166056357637
1,0,619.667152890727
2,0,538.205443318476
0,0,538.7547437197543
0,0,604.3871223043913
0,0,726.23241419671
0,0,582.7790888329881
0,0,624.7242864153303
